Trade ID,Entry Date,Exit Date,Action,Entry Price,Exit Price,PnL,Score,Confluence,Reason
1,2026-01-25T18:00:00.000Z,2026-01-26T12:00:00.000Z,SELL,87766.09,88333.60,-2.50,7,"Trend aligned, Near S/R level, Structure break, Killzone: NY Open, CPR PP aligned, Liquidity sweep, VWAP aligned",Stop Loss
2,2026-01-26T18:00:00.000Z,2026-01-27T00:00:00.000Z,SELL,87599.82,88207.93,-2.50,8,"Trend aligned, OB/FVG detected, Volume confirmation, Killzone: NY Open, CPR PP aligned, Wyckoff confirmed, VWAP aligned, In OTE zone",Stop Loss
3,2026-01-27T12:00:00.000Z,2026-01-27T18:00:00.000Z,SELL,87860.61,88433.56,-2.50,7,"Trend aligned, OB/FVG detected, Volume confirmation, CPR PP aligned, Wyckoff confirmed, VWAP aligned, In OTE zone",Stop Loss
4,2026-01-27T18:00:00.000Z,2026-01-28T00:00:00.000Z,SELL,87429.68,88014.93,-2.50,8,"Trend aligned, OB/FVG detected, Volume confirmation, Killzone: NY Open, CPR PP aligned, Wyckoff confirmed, VWAP aligned, In OTE zone",Stop Loss
5,2026-01-29T12:00:00.000Z,2026-01-31T12:00:00.000Z,SELL,87675.87,80554.39,13.78,7,"Trend aligned, OB/FVG detected, Volume confirmation, CPR PP aligned, Liquidity sweep, VWAP aligned, In OTE zone",Trailing SL (Breakeven+)
6,2026-02-01T00:00:00.000Z,2026-02-05T12:00:00.000Z,SELL,78648.00,68558.40,12.30,7,"Trend aligned, OB/FVG detected, Structure break, Killzone: Active Session, CPR PP aligned, Wyckoff confirmed, VWAP aligned",Trailing SL (Breakeven+)
7,2026-02-05T12:00:00.000Z,2026-02-05T18:00:00.000Z,SELL,70195.21,64271.84,13.03,7,"Trend aligned, Near S/R level, Structure break, Volume confirmation, CPR PP aligned, Wyckoff confirmed, VWAP aligned",Trailing SL (Breakeven+)
8,2026-02-05T18:00:00.000Z,2026-02-06T12:00:00.000Z,SELL,66035.98,70293.35,-2.50,7,"Trend aligned, Near S/R level, Structure break, Volume confirmation, Killzone: NY Open, Liquidity sweep, VWAP aligned",Stop Loss
9,2026-02-10T06:00:00.000Z,2026-02-13T12:00:00.000Z,SELL,69399.79,68996.05,0.88,7,"Trend aligned, OB/FVG detected, Volume confirmation, CPR PP aligned, Wyckoff confirmed, VWAP aligned, In OTE zone",Trailing SL (Breakeven+)
10,2026-02-17T00:00:00.000Z,2026-02-17T06:00:00.000Z,BUY,68859.55,67873.07,-2.50,7,"Trend aligned, OB/FVG detected, Killzone: Active Session, CPR PP aligned, Wyckoff confirmed, VWAP aligned, In OTE zone",Stop Loss
